<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni2 data from 20150315 to 20150320</B><hr><pre>Selected parameters:
 1 Scalar B, nT
 2 SW Proton Density, N/cm^3
 3 SW Plasma Temperature, K
 4 SW Plasma Speed, km/s
 5 Kp index

YEAR DOY HR    1     2        3     4   5
2015  74  0   6.3  13.5   30496.  324. 20
2015  74  1   5.9  16.2   32487.  327. 20
2015  74  2   6.3  16.4   33920.  327. 20
2015  74  3   5.7  17.5   41004.  329. 20
2015  74  4   5.7  20.0   36557.  326. 20
2015  74  5   5.8  20.0   33723.  324. 20
2015  74  6   5.5  20.2   32234.  326. 27
2015  74  7   3.7  21.7   36055.  326. 27
2015  74  8   4.2  23.4   35485.  323. 27
2015  74  9   5.0  22.7   38119.  321. 13
2015  74 10   6.2  20.0   35911.  318. 13
2015  74 11   6.0  20.3   35422.  316. 13
2015  74 12   5.2  21.0   38221.  312. 13
2015  74 13   6.5  18.1   46387.  312. 13
2015  74 14   4.8  17.3   41293.  309. 13
2015  74 15   5.7  18.7   57574.  313. 13
2015  74 16   8.9  17.0   58935.  320. 13
2015  74 17   8.3  20.7   54521.  321. 13
2015  74 18  13.1  17.7   58679.  323. 20
2015  74 19   9.4  18.8   57870.  314. 20
2015  74 20   5.1  20.3   55912.  312. 20
2015  74 21   6.8  14.3   44021.  298. 10
2015  74 22   5.0  18.9   40920.  305. 10
2015  74 23   6.2  17.7   43530.  306. 10
2015  75  0   7.5  22.1   43592.  314. 17
2015  75  1   7.2  31.9   46476.  326. 17
2015  75  2   7.5  38.8   49850.  327. 17
2015  75  3   7.3  32.5   39028.  340. 33
2015  75  4   7.4  28.7   37274.  347. 33
2015  75  5   5.9  35.1   35529.  346. 33
2015  75  6  10.9  24.2   71556.  361. 37
2015  75  7  12.4  14.4   66752.  362. 37
2015  75  8  11.0  15.5   72171.  364. 37
2015  75  9  11.3  19.5   85991.  378. 30
2015  75 10  12.6  20.5   79316.  380. 30
2015  75 11  14.9  23.2   75820.  376. 30
2015  75 12  11.8  23.4   86085.  368. 27
2015  75 13  10.4  18.9  103257.  376. 27
2015  75 14  13.2  15.7   42031.  400. 27
2015  75 15  13.4  21.7   20775.  405. 27
2015  75 16  13.0  20.0   32081.  401. 27
2015  75 17  12.3  23.9   32724.  406. 27
2015  75 18  11.0  26.8   48356.  418. 13
2015  75 19   9.2  24.4   34241.  424. 13
2015  75 20   8.0  24.2   33497.  425. 13
2015  75 21   8.7  19.7   38645.  431.  3
2015  75 22   9.6  17.0   29569.  421.  3
2015  75 23   8.7  16.9   51743.  425.  3
2015  76  0   8.2  17.0   61621.  420. 20
2015  76  1   8.5  14.7   52338.  416. 20
2015  76  2   8.0  13.1   61401.  415. 20
2015  76  3   7.8  17.6   45289.  412. 47
2015  76  4   9.7  16.5   39964.  413. 47
2015  76  5  21.9  33.7  115463.  492. 47
