configuration,event,detected,event_precision,pw_precision,pw_recall,pw_f1,pw_fpr,flagged,n_samples,quiet_far
"SPC (3-sigma, Kp<3 quiet rows)",Bastille Day,True,0.2111801242236025,0.2111801242236025,0.6938775510204082,0.32380952380952377,0.18273381294964028,161,744,0.04375
"SPC (3-sigma, Kp<3 quiet rows)",Halloween Storms,True,0.22772277227722773,0.22772277227722773,0.46938775510204084,0.3066666666666667,0.11223021582733812,101,744,0.02631578947368421
"SPC (3-sigma, Kp<3 quiet rows)",St. Patrick's Day,True,0.34831460674157305,0.34831460674157305,0.6326530612244898,0.44927536231884063,0.08345323741007195,89,744,0.047619047619047616
"SPC (3-sigma, Kp<3 quiet rows)",September 2017,True,0.40217391304347827,0.40217391304347827,0.7551020408163265,0.524822695035461,0.08196721311475409,92,720,0.05043859649122807
"SPC (3-sigma, Kp<3 quiet rows)",Gannon Storm,True,0.22033898305084745,0.22033898305084745,0.5306122448979592,0.31137724550898205,0.13237410071942446,118,744,0.04835924006908463
"SPC (3-sigma, calendar quiet half)",Bastille Day,True,0.37142857142857144,0.37142857142857144,0.2653061224489796,0.30952380952380953,0.031654676258992806,35,744,0.004166666666666667
"SPC (3-sigma, calendar quiet half)",Halloween Storms,True,0.27058823529411763,0.27058823529411763,0.46938775510204084,0.3432835820895522,0.08920863309352518,85,744,0.02046783625730994
"SPC (3-sigma, calendar quiet half)",St. Patrick's Day,True,0.38961038961038963,0.38961038961038963,0.6122448979591837,0.47619047619047616,0.06762589928057554,77,744,0.053830227743271224
"SPC (3-sigma, calendar quiet half)",September 2017,True,0.3888888888888889,0.3888888888888889,0.2857142857142857,0.3294117647058823,0.03278688524590164,36,720,0.03289473684210526
"SPC (3-sigma, calendar quiet half)",Gannon Storm,True,0.5517241379310345,0.5517241379310345,0.32653061224489793,0.41025641025641024,0.01870503597122302,29,744,0.0069084628670120895
Isolation Forest (fit on all data),Bastille Day,True,0.29213483146067415,0.29213483146067415,0.5306122448979592,0.37681159420289856,0.09064748201438849,89,744,0.0125
Isolation Forest (fit on all data),Halloween Storms,True,0.11267605633802817,0.11267605633802817,0.16326530612244897,0.13333333333333333,0.09064748201438849,71,744,0.06725146198830409
Isolation Forest (fit on all data),St. Patrick's Day,True,0.2248062015503876,0.2248062015503876,0.5918367346938775,0.3258426966292135,0.14388489208633093,129,744,0.10973084886128365
Isolation Forest (fit on all data),September 2017,True,0.35555555555555557,0.35555555555555557,0.6530612244897959,0.460431654676259,0.08643815201192251,90,720,0.07675438596491228
Isolation Forest (fit on all data),Gannon Storm,True,0.2826086956521739,0.2826086956521739,0.5306122448979592,0.36879432624113473,0.09496402877697842,92,744,0.037996545768566495
Isolation Forest (fit on Kp<3 rows),Bastille Day,True,0.13194444444444445,0.13194444444444445,0.7755102040816326,0.22551928783382788,0.3597122302158273,288,744,0.18541666666666667
Isolation Forest (fit on Kp<3 rows),Halloween Storms,True,0.03864734299516908,0.03864734299516908,0.16326530612244897,0.06249999999999999,0.28633093525179854,207,744,0.13742690058479531
Isolation Forest (fit on Kp<3 rows),St. Patrick's Day,True,0.1685823754789272,0.1685823754789272,0.8979591836734694,0.2838709677419355,0.3122302158273381,261,744,0.2028985507246377
Isolation Forest (fit on Kp<3 rows),September 2017,True,0.1829787234042553,0.1829787234042553,0.8775510204081632,0.3028169014084507,0.28614008941877794,235,720,0.14035087719298245
Isolation Forest (fit on Kp<3 rows),Gannon Storm,True,0.16022099447513813,0.16022099447513813,0.5918367346938775,0.25217391304347825,0.218705035971223,181,744,0.11226252158894647
